Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ghana,288,7.528827172,-0.853762322,2.281994186,0.021984208,0.437661371,1.166013736,0.931204042,1.514293736,-0.792152535,0.127684476
Gibraltar,292,999,999,777,999,777,999,999,999,777,999
Kiribati,296,999,999,999,999,999,999,999,999,999,999
Greece,300,0.873898664,0.425383731,-0.379528404,0.5242167,-0.480261795,0.03010784,-0.33894062,0.099658155,-0.332231191,0.474473003
Greenland,304,2.533301297,-0.809596344,777,999,999,999,999,999,-0.696261682,6.461538462
Grenada,308,6.51622936,0.848514486,-0.577145206,-0.278579335,2.519745971,-0.84258108,0.534638445,1.336455784,-0.742026903,4.15996772
Guadeloupe,312,999,7.930782217,0.73977774,-0.48961355,0.528356052,-0.239890761,-0.950455078,10.12250616,0.759852874,-0.736147138
Guatemala,320,-0.092022303,0.388670363,0.300946694,0.276228401,0.374005458,0.027524911,-0.237989273,0.218430993,0.409601699,0.147637853
Guinea,324,-0.411537494,0.096245746,9.757730472,-0.703100807,-0.124758364,-0.1421897,-0.81727899,777,999,0.044563357
Guyana,328,0.490454675,-0.308847225,1.745636132,0.014154236,-0.080820372,11.50411631,-0.860252356,-0.134434478,-0.262156238,0.326474006
Haiti,332,-0.481207638,-0.249990243,-0.168102028,1.2655508,0.762853153,0.164490265,-0.607483067,4.230662699,-0.80355705,1.914576872
Heard and McDonald Islands,334,999,999,999,999,999,999,999,999,999,999
Vatican City,336,999,999,999,999,999,999,999,999,999,999
Honduras,340,-0.058345147,0.414893395,0.304960067,0.672904726,0.932953896,0.436739043,-0.461356621,0.436930893,0.413803493,-0.312967286
Hong Kong,344,0.019340635,-0.05437024,0.043624849,0.581498773,0.060704148,0.700896457,-0.049396037,-0.011362273,-0.013517513,-0.047125812
Hungary,348,0.335811713,-0.666002061,1.407915553,-0.248621,1.483463217,0.286889364,-0.457542334,-0.302457153,0.522503183,0.712329533
Iceland,352,0.324050418,0.543055203,0.923390559,-0.16179235,-0.767357872,0.34078816,-0.143196982,1.022943302,-0.231567568,0.715349257
India,356,-0.145959233,0.221661551,0.122234581,0.533189309,0.19590652,0.281355787,-0.213718611,0.381664631,0.520468912,0.068048811
Indonesia,360,0.146830684,-0.057137582,1.069325078,-0.236113168,0.575914039,0.392960758,-0.373609978,0.640640561,0.43845547,0.157632368
Iran,364,999,777,999,0.061852267,2.999738903,777,999,2.033111759,0.706696313,2.896784166
Iraq,368,999,0.432421209,3.779771386,0.238005965,-0.904963522,1.00617485,1.802564007,-0.326897514,-0.796768021,3.455346578
Ireland,372,0.081919736,0.198712055,0.687335421,-0.381766123,0.090500417,0.109342476,-0.597099205,0.265088182,-0.487149471,-0.045033743
Israel,376,-0.005042769,0.294630943,0.850250028,-0.143202467,-0.021892285,0.709133316,-0.44841586,0.11877163,-0.086035346,0.421846859
Italy,380,-0.229014348,-0.015880956,0.533019823,0.191089175,-0.010770614,0.256726478,-0.306050617,0.538050134,0.18284457,-0.17840193
Cote d'Ivoire,384,-0.440228657,-0.294175026,2.056559349,-0.117665282,0.533619918,0.22962911,0.137865964,-0.608779743,2.558335563,-0.369294404
Jamaica,388,0.181532469,0.051155458,-0.261471622,-0.198233249,1.43569752,0.279282897,-0.21775293,-0.241193589,0.176629785,0.328535527
Japan,392,-0.048193196,0.097117779,0.062928572,-0.022291092,0.1395168,0.101442951,-0.003033415,0.037145174,0.145198359,-0.085665038
Kazakhstan,398,2.591434541,2.432412964,1.379040325,0.491634196,-0.338434089,0.656005821,-0.007040507,-0.769368575,-0.225776194,2.45755577
Jordan,400,-0.499659331,1.68611068,-0.638501077,-0.229981502,-0.078574877,1.058597875,-0.172993417,0.353115989,0.096666774,-0.491679559
Kenya,404,-0.556849392,0.607377683,-0.19753067,0.005597567,-0.051122047,0.235524122,0.712539864,-0.115529356,-0.148753398,1.218311466
"Korea, North",408,777,999,999,999,999,999,999,999,999,999
