Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Ethiopia,231,3.719103434,-0.866191908,2.60316968,-0.195369996,-0.157649538,0.951620789,-0.285956447,7.865794534,0.322473859,0.326764845
Eritrea,232,-0.937809429,2.675686275,2.292755788,777,999,999,999,1.539537527,777,999
Estonia,233,1.120912231,0.183393139,1.847755714,-0.739829445,0.578816509,1.061643811,-0.0882359,1.610592179,0.325886764,-0.010503661
Faroe Islands,234,999,999,999,999,0.767516481,-0.81753969,-0.456403763,777,999,-0.660642814
Falkland Islands (Islas Malvinas),238,999,777,999,999,999,999,999,999,999,999
Fiji,242,-0.880167944,9.880576297,-0.421829428,1.481221657,0.11906704,0.830984024,-0.991313731,-0.415575465,45.40448113,0.47164621
Finland,246,0.499164538,0.165799008,0.131990963,0.165532007,-0.112248188,-0.094049322,-0.506588986,0.627884228,-0.205562898,0.187287643
France,250,0.445160729,0.280218783,0.243993924,-0.060961002,0.088769807,-0.054018355,-0.090315607,0.090465187,-0.125930011,0.435170008
French Guiana,254,-0.02065982,777,999,999,777,999,-0.352118902,-0.693245779,2.740617181,4.823708658
French Polynesia,258,-0.361534289,1.870622225,-0.277134082,0.967290063,-0.452692258,0.289606897,-0.232306338,-0.134860474,0.761966524,-0.135782688
French Southern and Antarctic Lands,260,-0.938036411,0.868485484,777,999,999,999,999,999,999,999
Djibouti,262,999,999,-0.871138889,777,999,-0.103438443,-0.932337093,-0.512471694,17.01882543,-0.18886808
Gabon,266,3.746507436,777,999,777,999,-0.878442437,-0.803556498,11.19514674,1.0275972,-0.133682723
Georgia,268,0.89186474,0.120597911,1.328953164,-0.168644081,0.49513307,0.174628532,1.132148854,-0.941251387,1.447544571,-0.379739792
Gambia,270,999,777,999,-0.812876382,777,999,1.072934277,-0.386935634,777,999
Germany,276,0.05038927,0.050244827,0.192859323,0.060734275,0.499444161,0.155260887,-0.017070638,0.465886713,0.061586529,0.110226947
Ghana,288,-0.032101712,4.968293248,-0.665900841,0.869309166,-0.472285028,0.512057096,0.214196819,0.000858655,0.69597321,0.744145087
Gibraltar,292,1.872891126,-0.167097164,-0.460760164,0.197523407,-0.921185372,2.933333333,-0.292135593,5.672062063,-0.90299011,-0.112163362
Kiribati,296,999,999,999,999,999,999,777,999,999,999
Greece,300,0.396348319,1.985629652,-0.760794547,1.120637918,-0.621944431,0.1218991,-0.398758586,-0.521955234,-0.192294889,0.002081333
Greenland,304,999,999,999,777,999,999,-0.828152252,777,999,-0.485218414
Grenada,308,0.983259265,-0.688929245,0.335997595,-0.29195814,0.527699419,2.540233373,0.302774669,-0.413401426,-0.702900849,-0.014516981
Guadeloupe,312,-0.593030372,0.759922156,-0.36681969,-0.51391829,777,999,0.420239364,1.263080431,0.578068811,-0.687561112
Guatemala,320,-0.108534542,0.209652976,-0.230445079,0.686202395,-0.007020589,0.371735125,0.00772184,0.1364205,0.512985906,0.198323904
Guinea,324,-0.672879331,6.366609853,1.557511789,0.323073278,0.143273911,0.827219703,0.357771654,-0.105086497,-0.840688519,3.872259394
Guyana,328,-0.405886178,2.42820921,-0.802858526,1.344637555,-0.723274777,1.389305966,1.339296041,2.589163453,0.220610799,-0.301906467
Haiti,332,0.015796641,2.458051651,-0.699467216,1.543512954,-0.382525553,1.829575144,-0.574875232,1.997570384,-0.599929047,-0.05863208
Heard and McDonald Islands,334,999,999,777,999,999,999,999,999,999,999
Vatican City,336,777,999,-0.277203135,777,999,777,999,999,-0.237839276,2.620977254
Honduras,340,-0.618658143,2.389889864,1.494181994,0.276341705,-0.350937801,-0.076514479,-0.242212076,0.249150765,0.351294014,-0.069498408
Hong Kong,344,0.003702495,0.419977515,0.10559943,0.126167428,0.084226057,0.067675,-0.137292083,-2.99E-05,0.180959415,0.631565229
Hungary,348,1.435018361,0.119868857,0.516160002,0.175643003,-0.115154185,0.062918598,-0.392539271,-0.039078571,0.139155146,0.431673856
Iceland,352,0.818104372,1.250037386,0.817639041,0.040548784,0.010836128,-0.381299507,-0.391338957,2.378882594,-0.480825086,-0.203876892
India,356,0.432736267,0.68509506,0.104171034,0.223497837,0.471787629,0.396958463,-0.237125893,0.317224648,0.160556181,-0.083829924
Indonesia,360,0.216693094,0.277499986,-0.063178361,-0.218967813,0.677935759,0.431807054,-0.465299103,1.647045998,0.156706904,-0.175895243
Iran,364,999,999,1.201800718,0.072009083,16.92742867,-0.707926125,4.005662211,1.213533343,-0.051011609,-0.508766335
Iraq,368,999,3.086113503,-0.453671234,0.29125362,1.822939874,3.975246484,-0.490075392,-0.824474627,5.978902218,-0.670876457
Ireland,372,-0.045940568,-0.02771034,0.600832345,-0.016721569,-0.309692623,0.158541894,1.881539201,-0.122395212,0.610130062,-0.125615262
Israel,376,-0.137158531,0.061044346,-0.120004179,0.036245567,0.312379856,0.195171234,-0.286055011,0.178667728,-0.001186504,0.031374521
Italy,380,-0.079076409,-0.041003496,-0.086072403,-0.114485985,0.621604354,0.227280538,0.143134701,0.613023388,0.21080283,0.553682182
Cote d'Ivoire,384,-0.870007621,5.726393746,0.91474753,-0.836278981,1.659414634,2.039546572,-0.324886851,11.29519187,-0.889139222,2.016066733
Jamaica,388,-0.768696886,1.09340804,1.282091314,0.199602537,0.602811356,-0.30016639,0.717654372,-0.350641311,-0.159679586,-0.616202927
Japan,392,-0.117572304,0.141323334,0.070778733,0.07850448,-0.112666206,0.171285775,-0.046288691,0.453578088,0.077029923,0.357332798
Kazakhstan,398,0.222069822,0.354921306,-0.402113902,0.621066358,7.52317448,-0.672062942,1.718025218,0.256912077,-0.64002095,0.881962007
Jordan,400,-0.777603524,5.873292449,0.909087081,-0.71608755,0.294033463,-0.216293625,-0.365646751,-0.078367579,0.846636163,-0.285843328
Kenya,404,-0.538655105,0.030939983,1.218096726,-0.396403566,4.168931777,-0.566671613,-0.294044662,0.609411351,1.484024282,-0.490936597
"Korea, North",408,999,999,999,999,999,999,999,999,999,999
"Korea, South",410,-0.046055526,0.055669305,0.231147716,0.073441328,0.128178165,0.013148223,0.167486401,0.268074174,0.148223007,0.246118802
Kuwait,414,3.355900073,-0.316941445,-0.470597999,-0.0271622,3.763047276,-0.430497468,0.082088256,0.708989962,0.506991361,-0.29344338
Kyrgyzstan,417,3.595264337,-0.922717947,-0.169464007,7.436939557,-0.997950112,80.61151515,-0.960659889,38.42491741,-0.969311024,-0.013573602
Laos,418,777,999,777,999,30.51260504,-0.61447619,777,999,0.961693219,0.139309954
Lebanon,422,-0.222226541,0.991543948,-0.197055763,-0.110506754,0.052859245,0.001669787,1.07660815,0.467852275,0.04075813,0.125762156
Lesotho,426,999,999,32.31824009,-0.942766043,-0.266570913,-0.227041667,2.191741685,-0.001418679,777,999
Latvia,428,0.152241145,0.164332939,0.593093987,-0.217387237,0.447913856,1.349369292,-0.814462701,3.37715483,-0.444639271,0.599422497
Liberia,430,1.662267531,-0.605478323,0.992283705,0.018303813,0.305035995,-0.289652254,-0.399822195,1.52717025,0.369803878,0.521590761
Libya,434,999,999,-0.915066981,29.10157362,-0.156203839,0.644879522,0.037331153,-0.613921038,-0.104418883,2.068336914
Liechtenstein,438,999,777,999,999,11.44764604,0.808639555,-0.39223119,-0.083371692,777,999
Lithuania,440,0.864866699,1.726369051,-0.060903805,-0.01170099,4.494574283,-0.800314841,-0.770533803,0.232275147,2.757834841,0.275410239
Luxembourg,442,-0.770554471,0.369267386,7.887052903,-0.815132024,1.210674721,0.169827834,9.352300327,-0.711895589,2.447681066,0.136198658
Macau,446,-0.760708951,0.678870381,-0.045263396,1.634691213,4.025782587,-0.43206242,0.644756793,-0.720842748,-0.658661907,0.815793792
Madagascar,450,999,999,999,-0.875166844,33.85461538,2.688375891,1.565271296,-0.451433388,-0.933863167,1.187082506
Malawi,454,777,999,-0.92349485,0.38120923,1.890662888,-0.823534863,-0.599253783,0.097793103,4.316936801,-0.618059904
Malaysia,458,0.333668094,0.33497011,0.079995799,0.119291572,0.330109611,0.087102839,-0.307419275,0.39149008,-0.161409943,0.099741993
Maldives,462,-0.829088836,5.552819698,0.080690909,4.292315802,4.917988246,0.005599156,-0.84578956,-0.246165357,-0.625071225,-0.687354969
Mali,466,350.5213404,-0.491151086,-0.375643857,0.556067224,-0.257073729,0.705389928,-0.569597885,0.592502708,0.943815051,-0.338497852
Malta,470,1.018513746,-0.372564095,4.636566695,-0.811796888,0.313054634,0.993105262,0.333286102,1.037720107,-0.118509797,-0.295130697
Martinique,474,6.356820878,-0.735818633,-0.115875244,4.873873874,-0.410490562,-0.252606711,0.120583646,-0.709645552,-0.21430621,0.235769813
Mauritania,478,1.871375087,-0.054872928,3.769623775,-0.041471695,0.167678483,0.19797379,-0.016023356,0.95899853,-0.04428558,-0.562946733
Mauritius,480,1.643976374,-0.446131854,0.181471404,-0.523033745,4.915432386,-0.428234732,-0.160252467,0.112245065,0.737070766,0.701403605
Mexico,484,0.08413584,0.207381941,0.030353981,-0.074420189,0.074488018,-0.189143148,-0.156969484,0.467583118,0.254897379,0.190853693
Monaco,492,-0.775498777,1.13039168,2.937276963,-0.708094009,-0.884249481,2.388980483,-0.908619363,0.315323741,-0.389104633,2.207628257
Mongolia,496,5.596298687,-0.895083679,161.8796642,-0.585982616,0.868414864,-0.133734776,0.527538709,-0.808170253,10.48562567,-0.114995467
Moldova,498,1.34698149,-0.635052709,0.252404445,-0.162494386,-0.196536188,1.447571998,-0.844971914,-0.728458965,35.20267615,-0.726498046
Montenegro,499,999,999,999,999,999,0.114782069,-0.396425645,3.265413283,0.45737002,-0.987275949
Montserrat,500,999,777,999,7.847845207,777,999,999,777,999,777
Morocco,504,1.755657532,0.269089814,0.494107368,-0.548740545,1.441196256,1.093351691,-0.881469149,0.91920822,0.15337418,2.312678166
Mozambique,508,777,999,999,0.180722772,-0.307250575,-0.327725985,2.284288555,0.200447004,0.075298304,0.14869118
Oman,512,-0.595809349,2.03514471,-0.15430957,0.998692835,1.294234367,-0.104461734,-0.401580235,1.610361428,0.2086595,-0.029139067
Namibia,516,0.498082574,2.81037234,-0.827781462,1.727443133,1.451065253,0.980857546,-0.944477601,2.666230276,1.663603218,1.625267243
Nauru,520,999,999,777,999,15.45734127,777,999,999,999,999
Nepal,524,-0.874997432,0.134787135,4.01028439,3.175526174,-0.533232092,-0.202497973,-0.308897018,1.198191409,1.438435607,0.85066236
