id,Country,2005,2006,2007,2008,2009,2010,2011,2012
454,Malawi,1075135,239922,4957735,69135,420636,30700,18151,1703022
458,Malaysia,119236465,127042669,122019580,132300265,142144344,130744044,163572601,157163590
462,Maldives,224935,190605,578964,235642,469502,1034777,220682,242847
466,Mali,751868,234481,650412,726409,502604,71221,2297594,401137
470,Malta,2960417,390032,308980,2756201,2091102,604369,233965,447174
474,Martinique,392084,145204,513955,1073320,1046214,733205,2261517,5500103
478,Mauritania,8693101,7205644,10580757,28330329,21752077,9636284,15512215,13275054
480,Mauritius,776738,378664,606717,496334,421621,406599,395432,227239
484,Mexico,1337780744,1850790850,1481389191,1761454608,1585512206,2009980927,1986950427,2165245186
492,Monaco,0,2306192,12968,128097,0,43639,50000,5176
496,Mongolia,187460,412846,316442,552212,813181,816524,8463249,8763241
498,Moldova; Republic of,21438,211255,311206,872256,215896,462978,810495,946302
499,Montenegro,0,0,100434,660865,1266482,168391,107945,32528
500,Montserrat,83417,26676,0,16524,2952,0,0,0
504,Morocco,18547255,47683825,56063059,30540547,46804909,35579719,14063804,14900199
508,Mozambique,669649,1068836,1363474,97623,358363,217722,878018,412004
512,Oman,7325737,8017874,16484820,22951013,9469683,10478629,19948703,14138434
516,Namibia,30372,268041,109103,147187,131349,437421,7379749,223423
520,Nauru,3816,61538,0,179271,23391,0,0,0
524,Nepal,75040,915841,472084,1025798,515199,958662,1355760,757208
528,Netherlands,264423039,339864411,388047749,365891440,312884078,353796080,365947076,394850368
528,Netherlands Antilles,3610027,6270799,3455078,5694691,3815449,6656606,2564652,0
531,Curacao,0,0,0,0,0,0,2035105,1346807
533,Aruba,869279,933454,1019875,989432,2115378,704889,1929893,1236468
534,Sint Maarten,0,0,0,0,0,0,1011063,638386
540,New Caledonia,118474,19353,352980,1344940,524363,280484,848489,810887
548,Vanuatu,0,0,0,0,0,0,0,7456
554,New Zealand,59577753,58973577,56660812,62197141,48970603,53214628,61238320,66800049
558,Nicaragua,4067338,4662344,5898938,4876692,3710706,7142534,5139310,6593028
562,Niger,1070159,206840,1046978,206883,670720,1593826,16063,289438
566,Nigeria,6558592,14251324,25347847,20550434,22906637,19718475,24875464,19339358
570,Niue,0,0,43365,0,0,0,0,0
574,Norfolk Island,0,60134,0,0,2544,0,6387,0
578,Norway,43014567,49624790,50492141,66529400,37744760,47904029,57729342,61258209
583,Micronesia (Federated States of),0,15772,6354291,0,348352,158954,110640,173020
584,Marshall Islands,2900,0,1255826,23000,46000,26893,170491,167051
585,Palau,9172,85688,17721,0,27248,3720,6347,127736
586,Pakistan,30022052,33407299,25498839,33774695,21284124,41831789,35386518,22746549
591,Panama,15869509,21080220,25521819,31692413,18889128,28049497,47567585,49400704
598,Papua New Guinea,197159,157035,333027,761206,907962,364738,758379,49663954
600,Paraguay,844916,1528450,2409241,1653242,3178672,5318053,6448768,5159204
604,Peru,27672373,43505116,63691752,130193102,163121464,130794278,179486421,234093892
608,Philippines,68074471,90797656,112371988,88009407,71072710,106477619,122312411,147969819
612,Pitcairn Islands,0,0,0,0,0,0,0,0
616,Poland,36590373,36495618,54563419,67764527,58356048,62510464,68896801,85339122
620,Portugal,33185027,31038624,62944124,75905891,51439030,57324398,31327111,24699611
624,Guinea Bissau,0,60894,5062,0,0,0,0,9504
626,East Timor,14415,8541,616777,100000,0,620537,0,6817
634,Qatar,46906484,35411652,18422024,34341149,15656856,20467045,24935690,27079268
638,Reunion,3143,11396,20069,1873277,4579,25090,83403,32981
642,Romania,3937501,11330124,10075057,22464465,27543925,28611769,27626349,32203199
643,Russian Federation,76696052,80214318,136524474,166047463,151434154,99149450,207092036,220616105
646,Rwanda,227999,731933,1367007,760375,399337,267841,1093922,26866
654,Saint Helena,0,56010,226023,0,0,65183,0,88194
659,Saint Kitts and Nevis,383240,721582,159972,174225,570655,319492,111976,112592
660,Anguilla,487678,183734,528092,110330,110716,47819,62885,158720
662,Saint Lucia,408112,264278,185978,540101,203554,363617,390092,218407
666,Saint Pierre and Miquelon,0,0,0,0,0,0,0,31466
670,Saint Vincent and the Grenadines,159946,217298,266600,134139,40198,378575,273407,176535
674,San Marino,0,105926,0,11192,0,0,13581,60149
678,Sao Tome and Principe,14718,1210607,1434260,601624,0,0,108866,0
682,Saudi Arabia,169959068,503228960,475637253,556168278,227429532,238029177,282688181,312128407
