Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
France,250,0.136800607,0.619454232,-0.225467815,0.209170766,0.174644335,-0.075516892,-0.308222102,0.543638358,-0.011510136,-0.046710546
French Guiana,254,999,999,-0.527135948,777,999,0.886227117,-0.802479433,-0.733589251,11.97358309,1.17752027
French Polynesia,258,6.713938022,-0.270972185,-0.137579806,0.334228653,1.939966045,-0.725707276,0.797246134,0.848998166,-0.269048322,0.406925614
French Southern and Antarctic Lands,260,999,999,999,999,999,999,999,999,999,999
Djibouti,262,25.40632479,777,999,3.411220809,-0.488501715,0.009988135,0.844969507,-0.748279506,1.193495147,29.77715258
Gabon,266,-0.102936394,-0.440034075,2.881016346,157.2449293,-0.963737127,-0.242384737,-0.373487389,3.244137162,-0.464639921,1.499741935
Georgia,268,0.066677922,-0.471048617,0.925348766,-0.273550706,1.438512207,1.616377431,-0.519229769,0.122541231,-0.561467402,0.845780849
Gambia,270,4.458428922,1.037521739,-0.438796776,6.112472908,-0.756320311,-0.412629347,4.581424303,-0.434278385,-0.071999464,-0.864034025
Germany,276,-0.014815914,0.037019606,0.048564965,0.114161199,0.074977014,0.232611037,-0.19449302,0.215882242,0.175782254,0.102076234
Ghana,288,0.00643831,-0.106557844,0.067161288,-0.120099131,0.573382789,0.301711606,-0.417762146,1.37514897,0.343510743,0.007922794
Gibraltar,292,777,999,999,777,999,999,999,999,999,999
Kiribati,296,999,999,999,999,999,777,999,999,999,999
Greece,300,0.382084386,0.08016007,-0.374714754,-0.216308915,-0.604103234,0.026991225,-0.090817166,0.041788579,-0.067084162,-0.219821914
Greenland,304,777,999,999,-0.80202042,8.033471171,1.993220017,-0.825366963,-0.711339866,0.115340584,-0.259019759
Grenada,308,0.215931341,-0.380827138,19.91014694,-0.977435543,19.87611961,-0.869201794,8.462176392,-0.713250536,-0.349407301,-0.784548972
Guadeloupe,312,-0.409518217,3.298747817,-0.742480518,-0.330621713,1.782193166,-0.608600038,6.289556147,-0.518425421,-0.804629517,6.455817335
Guatemala,320,-0.023561278,0.393681158,-0.453082872,0.019469484,-0.097216042,0.557137073,0.799368472,0.006272831,-0.084759413,-0.090566775
Guinea,324,6.131258749,0.401416319,-0.222501158,2.872259638,2.621558172,-0.168026388,-0.806015673,1.333892556,0.47370506,-0.628923294
Guyana,328,1.313414669,0.034169622,0.330622677,1.100383543,-0.662457932,1.033482664,-0.125934743,1.101570115,-0.063121696,0.849883209
Haiti,332,-0.173446191,-0.576767013,-0.416368583,1.700669062,-0.578829455,-0.219526802,0.278370736,2.375200012,0.92385679,0.821858113
Heard and McDonald Islands,334,999,999,2.073007201,777,999,999,999,999,999,999
Vatican City,336,999,999,0.279091435,777,999,777,999,-0.863836387,777,999
Honduras,340,-0.048521704,0.371318071,0.098220904,0.256725554,0.419712372,-0.195033551,-0.121392556,0.4674868,0.120439718,0.267039891
Hong Kong,344,-0.125333885,0.250925319,-0.156815567,0.224486275,0.066908334,0.131148739,-0.072606033,0.121170582,0.16892035,-0.036061251
Hungary,348,-0.01058979,-0.346998858,-0.440069469,-0.153922717,0.016650431,0.194167959,-0.232319836,0.013889119,0.557606274,-0.223826969
Iceland,352,3.208657343,2.81461704,0.356495875,-0.559564582,0.313411651,-0.408544758,-0.853747581,-0.301228566,1.722055741,0.466732568
India,356,-0.219793469,0.34608695,0.333283151,0.068894481,0.439292428,0.060098864,0.094440245,0.120655454,0.106561594,0.031192152
Indonesia,360,0.237426944,0.521048105,-0.235839554,0.175039223,0.438941697,-0.026951785,-0.13695928,0.236112932,-0.334240416,0.906001417
Iran,364,999,-0.434670899,209.9074322,0.4734635,-0.109232789,-0.959406166,-0.964313329,26.13416667,1.429231289,-0.318593849
Iraq,368,68.30544937,0.459239601,0.589403533,16.27060347,-0.69071674,-0.444721215,-0.268729053,0.34879567,2.523608068,0.837958346
Ireland,372,-0.113818359,0.046710708,0.117647474,-8.21E-05,-0.17382608,0.036383737,-0.07425283,-0.126716107,0.339674872,-0.001118775
Israel,376,0.351396794,0.615571969,-0.464960719,0.93842502,-0.261659308,0.695553586,-0.222183799,0.630936658,-0.215699727,-0.073894949
Italy,380,-0.174047774,0.173122004,0.204365211,-0.435547467,0.113237013,0.086095979,-0.182999504,0.284419763,0.952906449,-0.08119897
Cote d'Ivoire,384,-0.152193858,1.786777554,0.044848198,0.93292175,0.960080484,-0.59698635,-0.656223418,1.3693363,-0.289710121,0.118886535
Jamaica,388,0.307813984,-0.347801805,0.538255744,0.236499429,0.08063232,-0.235065548,0.202818278,-0.068002767,-0.40798119,0.619858233
Japan,392,-0.013452298,-0.028077458,0.003192989,0.030079867,0.184344906,0.098985859,-0.13791668,0.000572916,0.07845872,0.041196188
Kazakhstan,398,-0.383060071,11.12890954,0.073646587,0.011276977,1.57742894,-0.590375637,-0.74047538,-0.139103816,5.479749856,-0.530258628
Jordan,400,3.358625443,-0.276988535,0.233641694,-0.011336019,0.523963759,0.004789385,-0.326855768,0.038421956,1.691647183,-0.192957869
Kenya,404,-0.53943201,2.17804347,-0.609165205,0.184242722,1.571089525,-0.477966521,0.283589229,0.524195857,0.016206244,0.042368683
"Korea, North",408,777,999,999,999,999,999,999,999,999,999
"Korea, South",410,-0.203836967,0.004634432,0.277317118,0.18065432,0.138721424,-0.00863933,-0.185967908,0.482916471,0.293439252,-0.006441756
Kuwait,414,0.325508997,0.059783248,-0.362195823,0.320450145,0.02116586,0.39100917,-0.557204279,0.847746142,0.160965797,0.049979853
Kyrgyzstan,417,777,999,999,-0.979744457,19.35497835,-0.868642523,102.5264253,-0.996175126,12.6536215,11.75935829
Laos,418,999,777,999,999,-0.910494186,-0.036544223,-0.708212939,-0.753524673,164.5100443,1.400692857
