Partner,number,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
Guadeloupe,312,0.479654658,-0.100533555,1.357655971,-0.823541632,10.92276901,-0.406871264,-0.681490771,-0.299126536,0.618484944,-0.203264353
Guatemala,320,0.322666186,-0.073411739,0.92008125,-0.135142708,0.282450603,-0.051188717,-0.062239561,-0.295451366,0.382811243,0.233490363
Guinea,324,-0.012422066,-0.924614516,-0.325989975,0.856149856,0.205609021,6.823894846,-0.436408486,-0.360041437,7.455391252,-0.804350708
Guyana,328,-0.180719435,-0.151456287,-0.105521561,1.415676743,-0.139299112,-0.041767685,0.277056341,0.524195734,-0.207257513,0.276760969
Haiti,332,-0.063720864,0.180292864,-0.789625487,-0.780283335,6.482319396,-0.480409026,1.551295158,0.126921282,-0.286487727,-0.385810841
Heard and McDonald Islands,334,999,999,999,999,999,999,999,999,999,999
Vatican City,336,999,999,999,777,999,777,999,999,999,999
Honduras,340,0.980952922,0.877608037,-0.348490457,0.096283234,0.29515443,-0.049087486,-0.094486567,-0.433709824,0.565249774,1.476244077
Hong Kong,344,-0.116921444,0.038284903,0.578362731,-0.127196807,-0.199443192,0.077452494,-0.114958299,0.245203896,-0.000963997,0.165698956
Hungary,348,-0.440373694,0.451729198,-0.012621951,0.414430317,0.326741285,0.031259544,0.155224589,0.685614915,0.17722342,-0.202764571
Iceland,352,0.404064789,-0.006914815,0.18231427,0.070021944,1.231088407,-0.396468931,-0.406796463,-0.390966934,-0.175024926,0.269686864
India,356,0.086835133,0.344252266,0.474457922,0.529710319,-0.04800806,0.327509923,-0.121010307,0.390997758,-0.012442052,0.002419722
Indonesia,360,-0.026090658,0.695724172,0.323163339,-0.027846087,0.431987581,0.448691523,-0.352135,0.322214745,0.508627922,0.060339185
Iran,364,999,999,4.661346692,4.565322962,-0.14346405,-0.343784129,3.110014012,-0.14350856,2.274778605,-0.071635427
Iraq,368,999,2.486292916,-0.356761786,2.299816928,-0.649341636,0.679933895,0.325442906,-0.675761694,2.070857984,-0.241260326
Ireland,372,0.573272126,0.090143096,0.04262816,-0.256899987,0.08965663,-0.201404446,0.015331327,-0.518243576,-0.228537136,0.001069216
Israel,376,0.060308733,-0.027037932,0.540898544,1.180403678,-0.16350407,-0.122008166,-0.120227779,-0.154556099,-0.137610336,0.197890394
Italy,380,0.29304012,0.116412943,-0.140033161,0.1146451,-0.240499279,0.138195046,-0.115613313,0.182162919,0.16016637,-0.091455953
Cote d'Ivoire,384,2.094536171,-0.463022179,7.172176741,-0.82163211,3.898529763,2.652340327,-0.856256829,1.687931911,-0.762536241,1.368414886
Jamaica,388,-0.454092475,0.191222042,-0.140890608,2.229287807,-0.362154691,0.546216044,-0.43906382,0.163990065,-0.10730253,0.106906435
Japan,392,0.00691675,0.041809841,0.004472126,0.146541966,-0.078204764,0.001345398,-0.09066414,0.330762821,0.156149312,-0.098874781
Kazakhstan,398,-0.035493032,2.195628302,0.204001256,-0.176323367,6.917398645,0.511130437,-0.716879826,-0.256714953,-0.158547907,0.199067667
Jordan,400,-0.435934999,0.217612966,0.644350232,-0.177835131,0.071085687,0.296574699,1.399287434,0.0318461,-0.615728613,-0.158245121
Kenya,404,6.414455344,-0.123446107,0.023809689,-0.565374944,0.025969649,0.034810832,-0.305934549,0.452323211,-0.204881155,0.035093207
"Korea, North",408,999,999,999,999,999,999,999,-0.84798141,777,999
"Korea, South",410,-0.076911666,0.395011801,0.403565374,0.157066407,-0.034264168,-0.00171146,-0.030184023,0.154282676,0.11720696,0.007539472
Kuwait,414,0.723654932,0.774432313,-0.175122043,-0.254780596,1.374928229,-0.222486848,-0.173986923,0.22517371,-0.269413076,-0.03529588
Kyrgyzstan,417,-0.603110538,-0.72819721,19.96238981,-0.567036248,4.858857935,-0.092915268,0.936935117,-0.537783821,0.257368468,1.475422212
Laos,418,777,999,2.275566351,4.328384636,-0.345193971,0.178325743,0.316016535,-0.933196835,14.88987983,-0.124696309
Lebanon,422,-0.245033621,1.71018899,0.099735886,-0.063613179,0.483785111,0.100812766,0.196968472,0.684481234,-0.359098622,-0.04490189
Lesotho,426,999,999,2.257094757,11.78512885,777,999,999,777,999,999
Latvia,428,2.285023174,-0.454110179,0.000846928,2.335905604,-0.598009147,0.279792958,-0.713588058,2.381507265,0.329537354,0.641079678
Liberia,430,3.37576286,0.986610301,0.385899402,2.097053105,-0.576914038,-0.102161825,0.2224968,1.356606558,0.292245633,-0.040913284
Libya,434,999,999,21.98084009,1.24346641,0.596549172,3.220460679,-0.434916314,1.26573946,-0.973987548,7.929970065
Liechtenstein,438,1.276222222,-0.299993491,777,999,0.143590501,4.192701437,-0.843959899,8.118015145,-0.590258381,-0.876526878
Lithuania,440,-0.112884195,0.869708348,0.568715238,0.13607974,1.177470754,-0.193394611,-0.373756312,-0.068635081,1.469698359,1.037386696
Luxembourg,442,0.361750045,-0.417222523,5.077097922,0.08440002,-0.379030387,0.128547952,-0.059212263,-0.099847233,14.33165799,1.957680605
Macau,446,0.840694679,-0.627941251,-0.096273927,1.686373381,1.817063804,-0.655922809,-0.68646084,0.246053516,3.704275517,-0.605859887
Madagascar,450,-0.673899962,10.78067101,0.196048016,-0.217655662,-0.676517329,-0.201193718,4.113747878,-0.801367866,1.432920696,-0.056423867
Malawi,454,-0.998588458,37.71593779,1.098372588,1.76847925,-0.777026472,0.550680538,-0.467722334,0.977360308,-0.600019488,0.590751478
Malaysia,458,-0.163794408,-0.367508462,0.498516009,0.014642169,-0.014951396,-0.09589166,0.719899845,0.017633295,-0.060362046,-0.460799596
Maldives,462,0.139414632,-0.443639975,-0.082128662,10.16295635,-0.876876019,1.596385443,8.68180162,0.692019341,-0.649645095,-0.442140122
Mali,466,17.617733,-0.935398723,4.802738962,-0.858058394,12.15837139,-0.36135928,0.842259278,-0.355463915,0.136443857,-0.745190126
Malta,470,-0.714625699,0.644996731,0.296797108,0.902789257,0.122907167,-0.895333788,-0.04376951,3.863166735,-0.361478752,-0.79845427
Martinique,474,0.091840638,0.609780514,-0.943238705,0.657080252,61.62016529,-0.750820901,-0.417385225,0.230909091,3.794268833,-0.67524617
Mauritania,478,2.479098897,-0.972486386,255.255814,-0.959350622,3.009677064,-0.575971988,-0.455638729,2.012880622,-0.267588799,-0.772078352
Mauritius,480,0.157261985,0.412379932,-0.109311501,-0.398278683,1.241559521,-0.518261147,1.785973116,-0.647425638,0.823609102,-0.311676823
Mexico,484,-0.078177618,0.29625389,0.080461595,0.082990548,0.115567342,0.298230036,-0.155151915,0.340426326,0.243627893,0.066913782
Monaco,492,-0.500704208,-0.432721334,777,999,777,999,999,0.037810861,-0.985646414,3.070036214
Mongolia,496,2.274249588,-0.812822378,-0.401760666,6.508322444,-0.251532934,0.219277983,-0.805792643,11.57166324,-0.287429311,10.39634301
Moldova,498,-0.870364034,29.67472081,-0.392460929,-0.666974459,2.56300301,0.963783237,-0.631848665,-0.398047278,2.026447659,-0.285896542
Montenegro,499,999,999,999,999,999,-0.389466423,0.558408469,-0.873249546,-0.714314314,10.17719491
Montserrat,500,999,999,999,999,1.041958042,-0.157534247,-0.813252033,-0.116673923,7.04484968,777
Morocco,504,0.493113947,-0.47320029,2.401440611,-0.463866692,0.377124771,-0.216945114,0.470929563,-0.409276727,0.161847728,-0.109419148
Mozambique,508,23.83316002,-0.825106662,3.366773078,-0.360329461,0.179285714,2.652517666,0.221034641,-0.418407905,0.25581685,-0.504103218
Oman,512,1.000144003,-0.203150608,0.023248696,0.19122016,-0.031275064,1.581002095,0.090074116,0.203746757,0.065143019,0.091075609
Namibia,516,-0.968392245,7.130602782,-0.416295029,-0.641956894,-0.672384937,4.121550336,1.947795824,0.707242347,-0.422528475,1.344888435
Nauru,520,-0.251995035,777,999,999,777,999,999,999,999,999
Nepal,524,-0.818014199,-0.231764232,0.532430821,0.908928703,-0.781179612,0.918937581,0.336390567,0.718239655,-0.5741556,3.111561831
Netherlands,528,0.415322954,0.165389623,-0.045073834,0.258492926,-0.208238173,-0.055573985,-0.3426636,0.144008051,-0.132739525,0.130254204
Netherlands Antilles,528,0.136769441,0.299390023,0.319303454,-0.573390659,0.375287017,0.718894328,-0.049081589,-0.36877821,-0.621397607,777
Curacao,531,999,999,999,999,999,999,999,999,999,2.829299674
Aruba,533,0.974391578,0.015788501,-0.42546316,0.46220384,0.187768689,-0.08486865,0.84253882,0.641268019,-0.295813686,-0.045163812
Sint Maarten,534,999,999,999,999,999,999,999,999,999,-0.416341686
New Caledonia,540,1.244624762,0.928433398,0.125224603,-0.113944847,1.750940094,0.070892008,0.270198968,0.363999685,0.344829869,-0.421264897
Vanuatu,548,999,999,999,999,999,-0.021874258,0.114043432,1.252116412,-0.592957974,3.439923902
New Zealand,554,0.192225259,0.469455535,0.438748019,0.056555635,0.050240678,0.008624815,-0.227700164,0.74983364,0.122845916,0.3411654
Nicaragua,558,0.187287219,0.347320337,1.053296436,-0.082789032,-0.330601608,1.839734678,-0.699324593,-0.103029086,3.331568564,0.315153547
Niger,562,-0.101099066,-0.510937785,-0.752634119,1.996629463,0.39507241,-0.212371347,-0.419381691,3.842167803,-0.951961856,3.132180238
Nigeria,566,0.173754632,0.222381134,1.083296775,0.063843287,1.237576235,0.383752581,-0.16247399,0.033593302,0.23813741,-0.149223784
Niue,570,999,999,777,999,999,999,6.006891915,777,999,999
Norfolk Island,574,999,999,999,999,-0.736959975,7.56738466,777,999,999,777
Norway,578,1.794710988,-0.511408218,0.435073554,0.007269614,0.334233453,0.135071473,-0.456630188,-0.331491621,0.153830572,0.044489972
Micronesia,583,999,4.662352279,-0.831544425,-0.124837758,5.151139275,-0.591061526,-0.740311947,8.439009288,-0.541393335,-0.36952272
Marshall Islands,584,15.49331713,777,999,999,777,999,-0.697,777,999,999
Palau,585,999,999,999,999,999,777,999,999,999,999
Pakistan,586,0.260051468,0.001204204,0.134566442,0.644795641,0.545507651,-0.364249145,0.313897459,0.009888971,-0.100667237,0.854879924
Panama,591,0.2370089,0.7874064,0.279544394,-0.127912701,0.108837752,0.512506409,-0.018614222,0.257024913,0.130335025,0.278553283
Papua New Guinea,598,2.857839721,-0.571905106,0.299136403,0.000757855,4.574429876,-0.415414592,1.290235838,0.257180297,0.289797255,-0.565808717
Paraguay,600,-0.38912012,1.793620695,0.084704905,-0.493192571,0.8830135,0.525554246,0.029095007,-0.170586144,2.610721102,-0.012529327
Peru,604,0.164311655,0.54332534,0.207847013,0.250296067,0.441393396,0.439848958,-0.265900215,0.183668368,-0.171582216,-0.022738609
Philippines,608,-0.15929859,-0.223596795,0.990419758,0.263729402,0.360520201,0.506173715,-0.559963005,0.409092348,0.132397195,-0.05127831
Pitcairn Islands,612,-0.368529982,-0.526283597,777,999,999,999,999,999,999,999
Poland,616,0.024472828,-0.100094416,0.703000293,0.305403457,0.35523392,0.605198164,-0.2466265,0.369636866,-0.20505062,0.432148725
Portugal,620,0.053871724,0.227290648,0.077090368,-0.308182253,0.270015989,-0.104224722,-0.364382982,0.286606593,0.303183125,-0.349442512
Guinea-Bissau,624,999,999,999,999,999,777,999,999,999,-0.597422452
