id,Country,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012
528,Netherlands Antilles,204928,97873,268206,1546511,243658,398331,1270294,1247844,754694,182641,0
531,Curacao,0,0,0,0,0,0,0,0,0,243674,636900
533,Aruba,132889,71151,154148,153337,174248,262549,659404,275010,232588,195395,162864
534,Sint Maarten,0,0,0,0,0,0,0,0,0,100755,91040
540,New Caledonia,355513,682703,245131,15113,4799,14114,79898,197396,107794,68008,114398
548,Vanuatu,2770,0,63684,0,11250,0,2950,6250,0,2780,0
554,New Zealand,27717332,21968700,27957846,33335390,31600266,31089011,41689248,32430789,33147450,45851120,51090012
558,Nicaragua,2825213,921328,1640163,1773937,2853820,2433233,5004733,2962955,6018685,2791139,8290152
562,Niger,234331,373669,100065,434208,1449055,643830,130151,16352,602221,5000,3572
566,Nigeria,1879281,1910248,3265435,679079,1528544,965850,7007663,3520809,14958235,18947960,9156096
570,Niue,0,0,0,0,0,0,0,0,0,0,0
574,Norfolk Island,0,0,0,0,48960,0,0,0,0,0,0
578,Norway,7306219,11218042,6853020,7881456,7106925,6615483,12133761,12485394,7190110,9207057,9638086
583,Micronesia,23848,2595,0,6904,3000,0,13794,0,83069,6027,69448
584,Marshall Islands,43695,113523,18450,6000,0,5750,0,0,67751,42169,0
585,Palau,244476,422001,141091,2646,0,0,5951,0,18834,5000,0
586,Pakistan,3278594,2796764,3422478,5932035,4106823,7803453,5450060,4418570,4909459,4176854,8165500
591,Panama,3707474,2748558,5478495,6485122,9884855,13821672,19141586,6246387,19839048,22123147,23076495
598,Papua New Guinea,22032,19000,86066,173607,121885,417345,248275,555614,290622,536032,742067
600,Paraguay,238016,253678,281682,331763,472685,1662369,3945053,719149,6101312,14479466,10577431
604,Peru,3618255,2979573,5011955,5545447,7134622,11372508,17760649,16294198,18271025,19668023,44604411
608,Philippines,14583677,12368181,11644291,25024668,19013149,29162357,45627527,31963015,37940586,44777313,51848696
612,Pitcairn Islands,0,0,0,0,0,0,0,0,0,0,0
616,Poland,8067296,8563804,11005976,20066965,26689302,21026302,32683573,20155289,27720912,28624473,42353122
620,Portugal,849031,1702403,2020917,1477218,1136135,2438312,2674809,1803529,1483431,70441394,2023929
624,Guinea-Bissau,0,0,0,0,0,0,0,22802,0,0,0
626,Timor-Leste,0,0,0,0,12091,0,0,0,14439,0,0
634,Qatar,1127508,1222883,2078620,5674744,9201722,15932252,28081213,11749158,4179075,7697222,16066326
638,Reunion,0,31111,176147,330929,0,321261,0,257574,38677,8272,3164
642,Romania,3293006,2448809,3380312,9885425,9149135,9260129,26370292,16971545,17423095,34990260,33288217
643,Russia,56269822,17998182,48537237,68567385,122740550,233740718,379266664,91825821,137233536,276315931,330783917
646,Rwanda,0,0,0,0,18600,27902,2869,0,2916,0,58637
654,St Helena,0,0,0,0,3460,0,0,0,0,0,0
659,St Kitts and Nevis,14023,60425,34192,130570,232512,183348,498628,67688,39563,47028,106707
660,Anguilla,61683,3830,56598,0,45640,88684,209741,160314,0,83464,2519
662,St Lucia,102547,62291,51704,307859,260638,195927,147479,418398,110331,538787,302868
666,St Pierre and Miquelon,0,0,0,0,0,0,0,0,0,0,0
